+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[37].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[36].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[35].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[34].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[33].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[32].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[31].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[30].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[29].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[28].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[27].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[26].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[25].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[24].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[23].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[22].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[21].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[20].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[19].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[18].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[17].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[16].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[15].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[14].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[13].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[12].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[11].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[10].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[9].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[8].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[7].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[6].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[5].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[4].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[3].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[2].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[1].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[0].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5                                                                                                                                                  ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[22].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[21].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[20].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[19].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[18].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[17].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[16].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[15].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[14].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[13].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[12].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[11].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[10].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[9].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[8].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[7].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[6].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[5].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[4].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[3].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[2].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[1].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4|delay_loop[0].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst4                                                                                                                                                  ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_limit_comparator|auto_generated                                                              ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_res_rounding_add_sub_upper1|auto_generated                                                              ; 27    ; 0              ; 13           ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_res_rounding_add_sub_lower|auto_generated                                                               ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_add_sub_upper1|auto_generated                                                                           ; 33    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_add_sub_upper0|auto_generated                                                                           ; 33    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_add_sub_lower|auto_generated                                                                            ; 33    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_2comp_res_upper1|auto_generated                                                                         ; 33    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_2comp_res_upper0|auto_generated                                                                         ; 33    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|man_2comp_res_lower|auto_generated                                                                          ; 33    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub6|auto_generated                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub5|auto_generated                                                                                     ; 21    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub4|auto_generated                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub3|auto_generated                                                                                     ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub2|auto_generated                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|add_sub1|auto_generated                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder34  ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder33  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32                        ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder28  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst3|a1|fpadd_altfp_add_sub_fbm_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder27  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
